Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
12/2018,1,0,0,0,0
11/2018,1,0,0,0,0
10/2018,1,0,0,0,0
09/2018,1,0,0,0,0
08/2018,1,0,0,0,0
07/2018,1,0,0,0,0
06/2018,1,0,0,0,0
05/2018,1,0,0,0,0
04/2018,1,0,0,0,0
03/2018,1,0,0,0,0
01/2018,1,0,0,0,0
02/2018,1,0,0,0,0
52/2017,1,0,0,0,0
08/2017,1,0,0,0,0
51/2017,1,0,0,0,0
07/2017,1,0,0,0,0
06/2017,1,0,0,0,0
50/2017,1,0,0,0,0
05/2017,1,0,0,0,0
49/2017,1,0,0,0,0
04/2017,0,0,0,1,0
48/2017,0,1,0,0,0
47/2017,1,0,0,0,0
03/2017,0,0,0,1,0
46/2017,1,0,0,0,0
02/2017,0,0,0,1,0
45/2017,1,0,0,0,0
01/2017,0,0,0,1,0
44/2017,1,0,0,0,0
43/2017,1,0,0,0,0
42/2017,1,0,0,0,0
41/2017,1,0,0,0,0
40/2017,1,0,0,0,0
39/2017,1,0,0,0,0
38/2017,0,1,0,0,0
37/2017,1,0,0,0,0
36/2017,1,0,0,0,0
35/2017,1,0,0,0,0
34/2017,0,1,0,0,0
33/2017,0,1,0,0,0
32/2017,1,0,0,0,0
31/2017,1,0,0,0,0
30/2017,0,1,0,0,0
29/2017,1,0,0,0,0
28/2017,0,1,0,0,0
27/2017,1,0,0,0,0
26/2017,0,0,0,1,0
25/2017,0,0,0,1,0
24/2017,1,0,0,0,0
23/2017,0,0,0,1,0
22/2017,1,0,0,0,0
21/2017,0,1,0,0,0
20/2017,1,0,0,0,0
19/2017,1,0,0,0,0
18/2017,0,1,0,0,0
17/2017,1,0,0,0,0
16/2017,0,1,0,0,0
15/2017,1,0,0,0,0
14/2017,1,0,0,0,0
13/2017,1,0,0,0,0
12/2017,1,0,0,0,0
11/2017,1,0,0,0,0
10/2017,1,0,0,0,0
09/2017,1,0,0,0,0
52/2016,1,0,0,0,0
51/2016,1,0,0,0,0
50/2016,1,0,0,0,0
49/2016,1,0,0,0,0
48/2016,1,0,0,0,0
47/2016,1,0,0,0,0
46/2016,1,0,0,0,0
45/2016,1,0,0,0,0
44/2016,1,0,0,0,0
43/2016,0,1,0,0,0
42/2016,0,1,0,0,0
41/2016,1,0,0,0,0
40/2016,0,1,0,0,0
39/2016,1,0,0,0,0
38/2016,1,0,0,0,0
37/2016,1,0,0,0,0
36/2016,1,0,0,0,0
35/2016,1,0,0,0,0
34/2016,1,0,0,0,0
33/2016,1,0,0,0,0
32/2016,1,0,0,0,0
31/2016,1,0,0,0,0
30/2016,1,0,0,0,0
29/2016,1,0,0,0,0
28/2016,0,1,0,0,0
27/2016,1,0,0,0,0
26/2016,1,0,0,0,0
25/2016,1,0,0,0,0
24/2016,1,0,0,0,0
23/2016,1,0,0,0,0
22/2016,1,0,0,0,0
21/2016,1,0,0,0,0
20/2016,1,0,0,0,0
19/2016,1,0,0,0,0
18/2016,1,0,0,0,0
17/2016,1,0,0,0,0
16/2016,1,0,0,0,0
15/2016,1,0,0,0,0
14/2016,1,0,0,0,0
13/2016,1,0,0,0,0
12/2016,1,0,0,0,0
11/2016,1,0,0,0,0
10/2016,1,0,0,0,0
09/2016,1,0,0,0,0
08/2016,1,0,0,0,0
07/2016,1,0,0,0,0
06/2016,1,0,0,0,0
05/2016,1,0,0,0,0
04/2016,0,1,0,0,0
03/2016,1,0,0,0,0
02/2016,1,0,0,0,0
01/2016,0,0,0,1,0
52/2015,1,0,0,0,0
51/2015,1,0,0,0,0
50/2015,0,0,0,1,0
49/2015,1,0,0,0,0
48/2015,1,0,0,0,0
47/2015,0,1,0,0,0
46/2015,0,1,0,0,0
45/2015,1,0,0,0,0
44/2015,1,0,0,0,0
43/2015,1,0,0,0,0
42/2015,1,0,0,0,0
41/2015,1,0,0,0,0
40/2015,1,0,0,0,0
39/2015,1,0,0,0,0
38/2015,1,0,0,0,0
37/2015,1,0,0,0,0
36/2015,1,0,0,0,0
35/2015,1,0,0,0,0
34/2015,1,0,0,0,0
33/2015,1,0,0,0,0
32/2015,1,0,0,0,0
31/2015,1,0,0,0,0
30/2015,1,0,0,0,0
29/2015,1,0,0,0,0
28/2015,0,1,0,0,0
27/2015,0,1,0,0,0
26/2015,1,0,0,0,0
25/2015,1,0,0,0,0
24/2015,1,0,0,0,0
23/2015,1,0,0,0,0
22/2015,1,0,0,0,0
21/2015,0,1,0,0,0
20/2015,0,1,0,0,0
19/2015,1,0,0,0,0
18/2015,1,0,0,0,0
17/2015,0,1,0,0,0
16/2015,1,0,0,0,0
15/2015,1,0,0,0,0
14/2015,1,0,0,0,0
13/2015,1,0,0,0,0
12/2015,1,0,0,0,0
11/2015,0,1,0,0,0
10/2015,1,0,0,0,0
09/2015,0,1,0,0,0
08/2015,0,1,0,0,0
07/2015,1,0,0,0,0
06/2015,1,0,0,0,0
05/2015,1,0,0,0,0
04/2015,1,0,0,0,0
03/2015,1,0,0,0,0
02/2015,1,0,0,0,0
01/2015,1,0,0,0,0
53/2014,1,0,0,0,0
47/2014,1,0,0,0,0
46/2014,1,0,0,0,0
52/2014,1,0,0,0,0
